"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
"Sementara itu , pada Tabel VII.3 menyediakan tingkat melek aksara dan tingkat pendidikan warga usia kerja di desa-desa ini","Sementara punika , ing Tabel VII.3 nyawisaken tingkat melekaksara uga tingkat pamucalan warga umur nyambut damel ing dhusun-dhusun niki "
"Dalam hal tingkat pendidikan , kaum dewasa di Cibulakan relatif memiliki tingkat pendidikan yang lebih rendah","lebet hal tingkat pamucalan , kaum dewasa ing Cibulakan relatifnggadhahi tingkat pamucalan ingkang langkung andhap "
"Mayoritas , 70,3% , hanya tamat SD , dengan 10,9% bahkan tidak tamat SD","Mayoritas , 70,3% , namung rampung SD , kaliyan 10,9% bahkanmboten rampung SD "
"Hanya 2,2% yang mengenyam pendidikan tinggi","namung 2,2% ingkang mengenyam pamucalan inggil "
Tingkat pendidikan di kalangan penduduk usia kerja sangat rendah,tingkat pamucalan ing kalangan para wargi umur nyambut damel andhap sanget 
Tingkat pendidikan yang lebih tinggi lebih banyak diperoleh laki-laki dibanding perempuan,tingkat pamucalan ingkang langkung inggil langkung kathah dipundeningaken kakung dipunbanding estri 
"Secara umum , tampaknya laki-laki memiliki kesempatan yang lebih besar untuk mengakses pendidikan yang lebih tinggi","sacara umum , katingalipun kakung nggadhahi kesempataningkang langkung ageng konjuk mengakses pamucalan ingkang langkung inggil "
"Secara keseluruhan , 85,8% orang dewasa dapat membaca dan menulis","samudayanipun , 85,8% tiyang dewasa saged maos uga nyerat "
"Sebanyak 83,7% penduduk usia kerja telah mengenyam pendidikan dasar enam tahun atau kurang dari enam tahun","sakathah 83,7% para wargi umur nyambut damel sampun mengenyam pamucalan dasar enem taun utawi kirang saking enem taun "
"Hanya 1,5% telah mengenyam pendidikan tinggi","namung 1,5% sampun mengenyam pamucalan inggil "
"Hal ini konsisten dengan sektor lapangan kerja utama di desa itu , di mana 58% keluarga bermata pencaharian di sektor pertanian","Hal niki konsisten kaliyan sektor lapangan nyambut damel utami ing dhusun punika , ing pundi 58% keluarga nduwe mripat pencaharian ing sektor pertanian "
"Hanya 13,8% dari penduduk yang telah menyelesaikan pendidikan SLTA dan hanya 1,5% yang berpendidikan tinggi","namung 13,8% saking para wargi ingkang sampun ndumugekaken pamucalan SLTA uga namung 1,5% ingkang berpendidikan inggil "
"Bahkan terdapat 27,3% tidak menyelesaikan pendidikan SD","Bahkan enten 27,3% mboten ndumugekaken pamucalan SD "
Sekitar 15% di antaranya belum melek aksara dan kebanyakan adalah kaum perempuan,Sekitar 15% ing antawisipun dereng melek aksara uga kekathahen yaiku kaum estri 
Mereka yang belum melek aksara umumnya adalah orang dewasa yang tidak pernah lagi membaca selama beberapa waktu yang lama,piyambake sedaya ingkang dereng melek aksara umumnyayaiku tiyang dewasa ingkang mboten nate malih maos salebetipun beberapa wanci ingkang dangu 
"Meskipun dahulunya ketika masih muda mereka dapat membaca , saat ini mereka tidak lagi mampu membaca","senaosa riyenipun nalika taksih enem piyambake sedaya saged maos , kala niki piyambake sedaya mboten malih saged maos "
Angka partisipasi murni SD di dua desa di Cianjur relatif lebih rendah dibanding desa-desa di Demak,Angka partisipasi murni SD ing kalih dhusun ing Cianjur relatiflangkung andhap dipunbanding dhusun-dhusun ing Demak 
"Sementara itu , angka partisipasi murni dari siswa perempuan lebih rendah pada ketiga tingkat pendidikan","Sementara punika , angka partisipasi murni saking siswa estri langkung andhap ing ketelu tingkat pamucalan "
"Seperti terlihat pada Tabel VII.5 , angka putus sekolah siswa di Cibulakan dimulai pada tingkat yang paling bawah","kados keningal ing Tabel VII.5 , angka putus sekolah siswa ing Cibulakan dipunawiti ing tingkat ingkang paling ngandhap "
"Sebanyak 21,3% dari anak usia enam hingga 12 tahun meninggalkan bangku sekolah","sakathah 21,3% saking anak umur enem ngantos 12 taun mengker bangku sekolah "
"Namun , tabel ini menunjukkan bahwa mereka yang putus sekolah belum tentu bekerja","nanging , tabel niki nunjukaken menawi piyambake sedaya ingkang putus sekolah dereng tentu nyambut damel "
"Secara keseluruhan , hanya 0,8% , 7% dan 23,8% dari anak usia sekolah pada masing-masing tingkat pendidikan benar-benar bekerja","samudayanipun , namung 0,8% , 7% uga 23,8% saking anak umur sekolah ing masing-masing tingkat pamucalan leres-leres nyambut damel "
Angka putus sekolah di Parakantugu mencerminkan tingkat partisipasi murni seperti dalam Tabel VII.4,Angka putus sekolah ing Parakantugu mangilonaken tingkat partisipasi murni kados lebet Tabel VII.4 
"Di Kedondong , 1,5% anak usia sekolah dasar bekerja , sementara hampir separo anak usia sekolah menengah atas bekerja","ing Kedondong , 1,5% anak umur sekolah dasar nyambut damel , sementara hampir separo anak umur sekolah madya inggil nyambut damel "
Desa ini memiliki paling banyak anak usia sekolah yang bekerja dibanding dengan ketiga desa lainnya,dhusun niki nggadhahi paling kathah anak umur sekolah ingkang nyambut damel dipunbanding kaliyan ketelu dhusun bentenipun 
"Tingkat penggunaan alat kontrasepsi di Cibulakan relatif rendah , yakni 52,6%","tingkat pangginan pirantos kontrasepsi ing Cibulakan relatifandhap , yakni 52,6% "
"Kontrasepsi yang paling banyak dipakai ialah yang melalui suntikan , kemudian disusul oleh pil","Kontrasepsi ingkang paling kathah kunjuk piyambakipun ingkang langkung suntikan , lajeng disusul dening pil "
"Terlebih lagi , tingkat imunisasi juga rendah di Cibulakan","tirah-tirah malih , tingkat imunisasi ugi andhap ing Cibulakan "
"Hanya 32,6% bayi yang telah menerima imunisasi lengkap dan rasio dari tiap jenis imunisasi bervariasi antara 44% dan 58%","namung 32,6% bayi ingkang sampun nampi imunisasi pepak uga rasio saking saben jenis imunisasi bervariasi antawis 44% uga 58% "
"Kelahiran yang ditangani dokter atau bides juga rendah yakni 32,8%","kelairan ingkang dipuntangani dokter utawi bides ugi andhap yakni 32,8% "
Hal ini dapat dimengerti karena dukun beranak biasanya tidak memungut biaya mahal,Hal niki saged dipunngertos amargi dukun nduwe anak biyasanipun mboten mendhet biaya awis
"Meskipun demikian , mayoritas para ibu telah menerima layanan prakelahiran dan pascakelahiran","parandosipun , mayoritas para ibu sampun nampi ladosan prakelahiran uga pascakelahiran "
"Untuk kondisi-kondisi medis selain dari kehamilan atau proses kelahiran , penggunaan fasilitas canggih sangat tinggi","konjuk kondisi-kondisi medis kajawi saking kengandhegan utawi proses kelairan , pangginan fasilitas canggih inggil sanget "
"Sebanyak 91,2% keluarga memanfaatkan fasilitas kesehatan modern selama sakit","sakathah 91,2% keluarga ngginakaken fasilitas kesarasan modern salebetipun sakit "
"Terlebih lagi , hampir setiap keluarga , 99,8% mengkonsumsi air matang","tirah-tirah malih , hampir saben keluarga , 99,8% mengkonsumsitoya matang "
"Hanya 0,4% keluarga yang masih tinggal di rumah berlantai tanah","namung 0,4% keluarga ingkang taksih tilar ing griya berlantai siti "
"Menurut para warga , investasi awal yang dilakukan keluarga ketika mereka memiliki uang adalah membeli keramik","miturut para warga , investasi awal ingkang dipuntumindakake keluarga nalika piyambake sedaya nggadhahi arta yaiku tumbas keramik "
"Hanya 58,5% keluarga usia produktif di Parakantugu yang menggunakan kontrasepsi","namung 58,5% keluarga umur produktif ing Parakantugu ingkang ngginakaken kontrasepsi "
"Lebih lagi , imunisasi masih terlihat jarang , meski jauh lebih baik dibanding Cibulakan","langkung malih , imunisasi taksih keningal awis , senaos tebih langkung sae dipunbanding Cibulakan "
"Secara total , separo lebih sedikit dari bayi telah menerima imunisasi lengkap","sacara total , separo langkung sekedhik saking bayi sampun nampi imunisasi pepak "
Hampir 90% keluarga mengupayakan layanan medis modern selama sakit dan setiap keluarga di Parakantugu mengkonsumsi air matang,Hampir 90% keluarga nyupadosaken ladosan medis modernsalebetipun sakit uga saben keluarga ing Parakantugumengkonsumsi toya matang 
"Di samping itu , hanya 0,3% keluarga masih tinggal di rumah berlantai tanah","ing samping punika , namung 0,3% keluarga taksih tilar ing griya berlantai siti "
"Sementara itu , 76,3% pasangan usia subur menggunakan alat kontrasepsi","Sementara punika , 76,3% pasangan umur subur ngginakaken pirantos kontrasepsi "
menjelaskan penyebab rendahnya rata-rata jumlah anggota sebuah keluarga di desa tersebut,mertelakaken penyebab andhapipun radin-radin wilangan anggota setunggal keluarga ing dhusun kesebat 
"Tingkat imunisasi di antara para bayi masih relatif rendah , meskipun kebanyakan vaksin disediakan secara gratis oleh pemerintah","tingkat imunisasi ing antawis para bayi taksih relatif andhap ,senaosa kekathahen vaksin dipuncawisaken sacara gratisdening pamerentah "
"Sebanyak 58,3% bayi telah menerima imunisasi lengkap , sementara 20% bayi belum menerima vaksinasi polio","sakathah 58,3% bayi sampun nampi imunisasi pepak ,sementara 20% bayi dereng nampi vaksinasi polio "
"Sebanyak 76% kelahiran bayi dibantu oleh dokter atau bides , sementara sisanya ditangani oleh dukun beranak","sakathah 76% kelairan bayi dibantu dening dokter utawi bides ,sementara tirahipun dipuntangani dening dukun nduwe anak "
"Selain itu , 86% ibu menerima layanan prakelahiran dan sekitar 77% menerima layanan pascakelahiran","kajawi punika , 86% ibu nampi ladosan prakelahiran uga sekitar77% nampi ladosan pascakelahiran "
Fakta bahwa tidak adanya fasilitas layanan kesehatan permanen di desa dapat menjadi alasan terbaik untuk menjelaskan kondisi ini,Fakta menawi mboten entenipun fasilitas ladosan kesarasan permanen ing dhusun saged dados alasan paling sae konjuk mertelakaken kondisi niki 
"Terakhir , hampir separo keluarga masih tinggal di rumah-rumah berlantai tanah","paling akhir , hampir separo keluarga taksih tilar ing griya-griya berlantai siti "
"Jika diteliti dari setiap jenis imunisasi , sekitar 75% - 88% anak-anak telah diimunisasi","menawi diteliti saking saben jenis imunisasi , sekitar 75% - 88%anak-anak sampun diimunisasi "
Penggunaan layanan medis formal sangat tinggi di Jungpasir,pangginan ladosan medis formal inggil sanget ing Jungpasir 
Sebanyak 86% kelahiran ditangani oleh dokter atau bides,sakathah 86% kelairan dipuntangani dening dokter utawi bides 
"Hampir di setiap kehamilan , para ibu menerima layanan kesehatan prakelahiran dan pascakelahiran","Hampir ing saben kengandhegan , para ibu nampi ladosan kesarasan prakelahiran uga pascakelahiran "
"Lebih lagi , 94% keluarga telah memanfaatkan fasilitas medis modern ketika sakit","langkung malih , 94% keluarga sampun ngginakaken fasilitasmedis modern nalika sakit "
"Terakhir , 99% keluarga mengkonsumsi air matang , meskipun 28,4% masih tinggal di rumah-rumah berlantai tanah","paling akhir , 99% keluarga mengkonsumsi toya matang ,senaosa 28,4% taksih tilar ing griya-griya berlantai siti "
"Secara umum , pola konsumsi keluarga di keempat desa tersebut cukup baik","sacara umum , pola konsumsi keluarga ing kaping sekawan dhusun kesebat cekap sae "
Hampir setiap keluarga makan dua kali sehari,Hampir saben keluarga tedha kaping kaling sadinten 
KARAKTERISTIK KEUANGAN Karakteristik keuangan dapat diamati pada empat aspek seperti terlihat dalam Tabel VII.8,KARAKTERISTIK kartan Karakteristik kartan saged dipunsangeti ing sekawan aspek kados keningal lebet Tabel VII.8 
"Seperti telah diuraikan pada Bagian VI.C , di Desa Cibulakan tidak terdapat lembaga kredit/pinjaman resmi","kados sampun diuraikan ing kunjukan VI.C , ing dhusun Cibulakan mboten enten lembaga kredit/sambetan resmi "
"Sebanyak 9,8% keluarga di Cibulakan telah menerima pinjaman formal selama tiga tahun terakhir , hampir seluruhnya diberikan bank","sakathah 9,8% keluarga ing Cibulakan sampun nampi sambetan formal salebetipun telu taun paling akhir , hampir sedayanipun dipunsukakna bank"
"Di sisi lain , untuk pinjaman informal warga meminjam dari tetangga","ing sisi benten , konjuk sambetan informal warga nyambet saking tanggi "
"Sementara itu , 14,1% keluarga memiliki tabungan","Sementara punika , 14,1% keluarga nggadhahi tabungan "
Cara lain untuk mendapatkan uang adalah dengan menggadaikan aset,cara benten konjuk nyagedaken arta yaiku kaliyan nggantosaken aset 
Masyarakat Parakantugu biasanya mendatangi BRI di Kadupandak ketika berurusan dengan lembaga keuangan formal,Masyarakat Parakantugu biyasanipun ndhatengi BRI ing Kadupandak nalika ngurusan kaliyan lembaga kartan formal 
"Sebanyak 12,6% keluarga telah mendapatkan pinjaman resmi dan 11,6% memiliki tabungan","sakathah 12,6% keluarga sampun nyagedaken sambetan resmiuga 11,6% nggadhahi tabungan "
"Hanya 0,9% keluarga yang menggadai asetnya dan hanya 1,1% yang terpaksa menjual asetnya untuk membayar utang","namung 0,9% keluarga ingkang nggantos asetnya uga namung 1,1% ingkang kepeksa sade asetnya konjuk membayar utang "
"Walaupun terdapat dua koperasi di Jungpasir , hanya 6,4% keluarga mendapat utang dalam tiga tahun terakhir","mbasi enten kalih koperasi ing Jungpasir , namung 6,4%keluarga nyaged utang lebet telu taun paling akhir "
"Sebanyak 15,6% keluarga telah memiliki tabungan","sakathah 15,6% keluarga sampun nggadhahi tabungan "
"Terakhir , persentase keluarga yang telah menggadai asetnya relatif kecil , hanya sekitar 1,7%","paling akhir , persentase keluarga ingkang sampun nggantos asetnya relatif alit , namung sekitar 1,7% "
"2,2% keluarga yang menjual asetnya untuk membayar utang","2,2% keluarga ingkang sade asetnya konjuk membayar utang "
Mereka meyakini kejadian ini sebagai dampak dari semakin banyaknya remaja yang putus sekolah dan menganggur,piyambake sedaya mitadosi kedadosan niki dados dampaksaking tambah kathahipun remaja ingkang putus sekolah uga menganggur 
Warga di keempat desa tersebut juga secara politik aktif,Warga ing kaping sekawan dhusun kesebat ugi sacara politikaktif 
Hal ini tampaknya didorong oleh akses informasi yang mudah,Hal niki katingalipun dipunsurung dening akses informasi ingkang gampil 
Partisipasi politik di Parakantugu tetap tinggi walaupun hanya 75% warga yang selalu menonton TV dan membaca surat kabar,Partisipasi politik ing Parakantugu tetap inggil mbasi namung 75% warga ingkang salajeng ningali TV uga maos serat prungon 
"Dalam praktiknya , dapat diamati adanya tingkat kebocoran dan kekurangtercakupan (undercoverage)","lebet praktiknya , saged dipunsangeti entenipun tingkat kebocoran uga kekurangtercakupan (undercoverage) "
Fenomena yang sama dapat dicermati dari distribusi kartu sehat bagi masyarakat miskin penerima program,Fenomena ingkang sami saged dicermati saking distribusi kertos saras kunjuk masyarakat miskin panampi program 
"Secara keseluruhan , sekitar 70% kelompok nonmiskin menerima manfaat dari program ini","samudayanipun , sekitar 70% kelompok nonmiskin nampi gina saking program niki "
