"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
Pegadaian sebenarnya juga melaksanakan pelayanan keuangan mikro dan karenanya patut dimasukkan ke dalam kategori LKM,panggadhen sabenere uga nglakoni ladenan kedhuwitan mikro lan amargane patut dimlebokake menjero kategori LKM 
"Sampai dengan akhir 2003, terdapat 774 cabang pegadaian di seluruh Indonesia","nganti karo akhir 2003, ana 774 cabang panggadhen neng kabeh Indonesia"
"Jaringan pegadaian ini yang melayani sekitar 14,3 juta nasabah dengan jumlah pinjaman sebesar Rp8,8 milyar","Jaringan panggadhen iki sing ngladeni sekitar 14,3 yuta nasabah karo cacah silihan sagedhe Rp8,8 milyar"
"Pada 2003, realisasi pemberian gadai unit Kupang Timur mencapai Rp4,4 miliar untuk 26.039 nasabah","nang 2003, realisasi paweweh gadhe unit Kupang wetan mencapai Rp4,4 miliar kanggo 26.039 nasabah"
Jumlah gadai per nasabah rata-rata Rp167 ribu dan setiap bulan melayani rata-rata 2.170 nasabah,cacah gadhe saben nasabah rata-rata Rp167 ewu lan sasasen ngladeni rata-rata 2.170 nasabah
"Pada tahun yang sama unit Ruteng merealisasikan pemberian gadai sebesar Rp8,76 miliar untuk 19.375 nasabah","nang taun den samya unit Ruteng merealisasikan paweweh gadhe sagedhe Rp8,76 miliar kanggo 19.375 nasabah"
Jumlah gadai per nasabah rata-rata Rp448 ribu dan setiap bulan melayani rata-rata 1.615 nasabah,cacah gadhe saben nasabah rata-rata Rp448 ewu lan sasasen ngladeni rata-rata 1.615 nasabah
Unit Pegadaian Ruteng ini mempunyai 7 staf dan ditambah seorang tenaga kontrak,Unit panggadhen Ruteng iki nduweni 7 staf lan ditambah sawong tenaga kontrak
Pengangkatan tenaga kontrak memberi petunjuk bahwa unit ini sebenarnya kekurangan tenaga,pangalungguhanan tenaga kontrak menehi pituduh menawa unit iki sabenere kekurangan tenaga
"Di NTT, jumlah kopdit yang beroperasi per 31 Desember 2003 sebanyak 253 unit dengan jumlah anggota 44.985 orang","neng NTT, cacah kopdit sing beroperasi saben 31 Desember 2003 saakeh 253 unit karo cacah anggota 44.985 wong"
"Puskopdit (Kabupaten) Manggarai memiliki anggota 43 kopdit, tetapi yang aktif hanya 16 kopdit","Puskopdit (Kabupaten) Manggarai nduweni anggota 43 kopdit, ning sing aktif mung 16 kopdit"
Kedua puskopdit ini berinduk pada Induk Koperasi Kredit (Inkopdit) yang berkedudukan di Jakarta,kapindho puskopdit iki berinduk nang Induk Koperasi Kredit (Inkopdit) sing berkedudukan neng Jakarta
Koperasi Talenta melakukan kegiatan simpan pinjam dengan titik berat lebih kepada pelayanan kredit mikro,Koperasi Talenta nglakoke kemempengan simpan silih karo titik abot luwih marang ladenan kredit mikro
Posisi outstanding loan terakhir sekitar Rp11 miliar (Juli 2004),Posisi outstanding loan paling akhir sekitar Rp11 miliar (Juli 2004)
"Modal awalnya sebesar Rp4,5 juta dengan tambahan modal berasal dari akumulasi keuntungan dan titipan dana pihak ketiga","Modal awalnya sagedhe Rp4,5 yuta karo tambahan modal asale saka akumulasi keuntungan lan titipan dana pihak ketelu "
Sekarang dana pihak ketiga yang dikelola Koperasi Talenta sebesar Rp3 miliar dengan bunga 15%/tahun (di atas bunga bank),saiki dana pihak ketelu sing dikelola Koperasi Talenta sagedhe Rp3 miliar karo kembang 15/taun (neng dhuwur kembang bank) 
Beberapa tahun yang lalu koperasi ini bahkan pernah memberikan bunga atas dana pihak ketiga sebesar 24%/tahun,Beberapa taun sing nuli koperasi iki bahkan tau menehake kembang dhuwur dana pihak ketelu sagedhe 24/taun
"Untuk mengelola usahanya, Koperasi Talenta mempunyai 89 orang staf","kanggo mengelola upadine, Koperasi Talenta nduweni 89 wong staf"
Kebanyakan mereka adalah petugas lapangan yang bertanggung jawab menarik angsuran dari nasabahnya,kokehan dekne kabeh yaiku panugas lapangan sing tanggung jawab nggeret angsuran saka nasabahnya
Kunci keberhasilan pelayanan kreditnya terletak pada komunikasi dan interaksi yang intensif dengan nasabah,Kunci kekedadeyanan ladenan kreditnya manggon nang komunikasi lan interaksi sing intensif karo nasabah
Setiap petugas lapangan rata-rata mengurus 45 nasabah,saben panugas lapangan rata-rata nggering 45 nasabah
3.1.2.2.3 Pusat Koperasi Angkatan Bersenjata Republik Indonesia (Puskopabri),3.1.2.2.3 puser Koperasi Angkatan Bersenjata Republik Indonesia (Puskopabri)
"Koperasi ini oleh masyarakat disebut sebagai bank harian, karena pembayaran cicilan kredit umumnya dilakukan setiap hari","Koperasi iki saka masyarakat karan dadi bank bedinan, amarga pembayaran cicilan kredit umumnya dilakoke saben dina "
"Pada Juni 2004, Puskopabri unit Kupang Timur (Oesao) mempunyai outstanding loan Rp65 juta dengan jumlah nasabah 200 ora","nang Juni 2004, Puskopabri unit Kupang wetan (Oesao) nduweni outstanding loan Rp65 yuta karo cacah nasabah 200 ora "
Puskopabri memberi pinjaman antara Rp100 ribu-Rp1 juta per nasabah,Puskopabri menehi silihan antara Rp100 ewu-Rp1 yuta saben nasabah
"Syarat untuk meminjam adalah mempunyai usaha, terutama warung/kios dan menyerahkan KTP","Syarat kanggo nyilih yaiku nduweni upadi, paling utama warung/kios lan ngabangna KTP "
"Puskopabri tidak mensyaratkan penyerahan agunan, tetapi mewajibkan nasabahnya menabung","Puskopabri ora mensyaratkan penyerahan agunan, ning majibke nasabahnya nabung"
Penetapan kelayakan kredit calon nasabah Puskopabri merupakan wewenang petugas lapangan,Penetapan keprayogan kredit calon nasabah Puskopabri ngrupakne wewenang panugas lapangan
"Oleh karena itu, untuk mengajukan pinjaman calon nasabah tidak perlu datang ke kantor unit","sarehdene kuwi, kanggo ngajokake silihan calon nasabah ora butuh teka menyang kantor unit"
"Jika pengajuan kreditnya disetujui petugas, pada hari berikutnya uang pinjaman langsung dicairkan","nek pangajon kreditnya disetujui panugas, nang dina ikine dhuwit silihan teras dicairkan"
Nasabah juga tidak perlu menyetorkan angsuran kredit ke kantor Puskopabri,Nasabah uga ora butuh menyetorkan angsuran kredit menyang kantor Puskopabri
Para petugas akan menarik angsuran di rumah atau tempat usaha nasabah,Para panugas arep nggeret angsuran neng omah utawa panggon upadi nasabah
"Untuk pelayanan itu, nasabah harus membayar bunga tinggi, yakni 20% per bulan","kanggo ladenan kuwi, nasabah kudu membayar kembang dhuwur, yakni 20% saben bulan"
"Sebagai contoh, jika nasabah meminjam Rp100 ribu, tiap hari dia harus mengangsur Rp4.000 selama 30 hari","dadi contho, nek nasabah nyilih Rp100 ewu, saben dina dheweke kudu mengangsur Rp4.000 sajrone 30 dina"
3.1.2.2.4 Program Penggemukan Sapi Pusat Koperasi Unit Desa (Puskud),3.1.2.2.4 Program panglemon sapi puser Koperasi Unit desa (Puskud)
Program penggemukan sapi yang dikelola oleh Pusat Koperasi Unit Desa (Puskud) mulai dilaksanakan pada 2002,Program panglemon sapi sing dikelola saka puser Koperasi Unit desa (Puskud) anyak dianakne nang 2002
Program ini ditangani langsung oleh pengurus Puskud Kupang tanpa melibatkan koperasi unit desa (KUD) dan pemerintah daerah,Program iki ditangani teras saka panggering Puskud Kupang tanpa melibatkan koperasi unit desa (KUD) lan pamerentah daerah 
"Untuk pengadaan bibit sapi (bakalan), Puskud memperoleh modal dari Nation Cooperation Business Association (NCBA)","kanggo pangaanan bibit sapi (bakalan), Puskud nyaka modal saka Nation Cooperation Business Association (NCBA)"
Program ini diharapkan dapat mengembalikan citra NTT sebagai gudang ternak,Program iki diharapkan bisa mbalekne citra NTT dadi gudang ingon-ingon
Keberhasilan program Puskud di tahun pertama telah mendorong kegiatan lanjutan,kekedadeyanan program Puskud neng taun pisan wis nyurung kemempengan banjuran
Permintaan peternak untuk ikut dalam kegiatan ini sangat tinggi,panjaluk pangingon-ingon kanggo melu jero kemempengan iki dhuwur banget
"Pada 2002 Puskud menyalurkan 500 sapi bakalan, pada 2003 sekitar 2.000 bakalan, dan pada 2004 mencapai 5.000 bakalan","nang 2002 Puskud menyalurkan 500 sapi bakalan, nang 2003 sekitar 2.000 bakalan, lan nang 2004 mencapai 5.000 bakalan "
Program sejenis juga dilakukan beberapa pedagang ternak di Kupang,Program sawarna uga dilakoke beberapa pandagang ingon-ingon neng Kupang
"Namun, mereka sepenuhnya menyerahkan usaha ini kepada peternak, tanpa menyediakan pendamping","ning, dekne kabeh sakebake ngabangna upadi iki marang pangingon-ingon, tanpa nyawiske pendamping"
"Akibatnya, hasilnya lebih rendah dibanding hasil program Puskud","pamburine, pakolehe luwih cendhek dibanding pakoleh program Puskud"
3.2 Pelayanan Lembaga Nonformal (LKM yang Dikelola LSM),3.2 ladenan Lembaga Nonformal (LKM sing Dikelola LSM)
Beberapa kegiatan LSM tersebut secara langsung dan tidak langsung berkaitan dengan penyediaan layanan keuangan mikro,Beberapa kemempengan LSM kesebut sacara teras lan ora teras berkaitan karo penyediaan laden kedhuwitan mikro 
"Mereka adalah Tanaoba Lais Manekat (TLM), Yayasan Pengembangan Pesisir dan Laut (YPPL), dan UBSP Tunas Jaya","dekne kabeh yaiku Tanaoba Lais Manekat (TLM), Yayasan Pengembangan panjungkat lan segara (YPPL), lan UBSP Tunas Jaya"
Berikut ini adalah gambaran singkat mengenai LSM yang menyediakan pelayanan keuangan mikro tersebut,iki iki yaiku gambaran singkat ngenani LSM sing nyawiske ladenan kedhuwitan mikro kesebut
3.2.1 Yayasan Tanaoba Lais Manekat (TLM) - Kabupaten Kupang,3.2.1 Yayasan Tanaoba Lais Manekat (TLM) - Kabupaten Kupang
Yayasan TLM dibentuk oleh gereja dengan tugas membantu mengembangkan kegiatan ekonomi masyarakat untuk mengurangi,Yayasan TLM dibentuk saka gereja karo tugas ngewangi mengembangkan kemempengan ekonomi masyarakat kanggo ngurangi 
"Untuk kredit kepada kelompok, anggota setiap kelompok SPUP dibatasi 5 orang dengan sistem pengembalian tanggung renteng","kanggo kredit marang kelompok, anggota saben kelompok SPUP diwatesi 5 wong karo sistem pambalen tanggung renteng "
"TLM mensyaratkan calon peminjam memiliki usaha, berdomisili tetap dan memiliki tabungan pada TLM","TLM mensyaratkan calon panyilih nduweni upadi, berdomisili tetap lan nduweni tabungan nang TLM"
Angsuran ditarik oleh petugas TLM dengan cara mendatangi nasabah ke rumah atau ke tempat usahanya,Angsuran digeret saka panugas TLM karo cara nekani nasabah menyang omah utawa menyang panggon upadine
"Saat ini wilayah operasi TLM meliputi kawasan Timor Barat, Rote, dan Alor, dan semuanya dilayani melalui 10 kantor cabangnya","wektu iki wilayah operasi TLM meliputi kawasan Timor kulon, Rote, lan Alor, lan kabehe diladeni liwat 10 kantor cabangnya "
Jumlah nasabah aktif sekitar 13.000 orang yang didampingi sekitar 13 orang staf lapangan,cacah nasabah aktif sekitar 13.000 wong sing didampingi sekitar 13 wong staf lapangan
Setiap staf lapangan mendampingi sekitar 275 nasabah,saben staf lapangan mendampingi sekitar 275 nasabah
"Outstanding loan per Juli 2004 mencapai Rp7,5 miliar dengan rata-rata penyaluran kredit Rp20 miliar/tahun","Outstanding loan saben Juli 2004 mencapai Rp7,5 miliar karo rata-rata penyaluran kredit Rp20 miliar/taun"
"Kegiatan TLM mendapat dukungan dana dan pendampingan teknis dari berbagai lembaga dari Eropa, Amerika dan Australia","kemempengan TLM mbisa dukungan dana lan pendampingan teknis saka macem-macem lembaga saka Eropa, Amerika lan Australia "
3.2.2 Yayasan Alfa Omega (YAO) - Kabupaten Kupang,3.2.2 Yayasan Alfa Omega (YAO) - Kabupaten Kupang
"Berkaitan dengan keuangan mikro, ada dua macam kegiatan yang dilakukan oleh YAO","Berkaitan karo kedhuwitan mikro, ana loro macam kemempengan sing dilakoke saka YAO"
Kredit yang diberikan sesuai permohonan dengan kisaran antara Rp75 juta sampai Rp100 juta,Kredit sing diwenehna padha permohonan karo kisaran antara Rp75 yuta nganti Rp100 yuta
Pengembalian kredit ini dicicil selama 10 bulan dengan bunga 0.75% per bulan,pambalen kredit iki dicicil sajrone 10 bulan karo kembang 0.75% saben bulan
Saat ini kegiatan pendampingan tersebut lebih banyak diserahkan pada LSM lokal bentukan YAO yang tersebar di 6 kabupaten,wektu iki kemempengan pendampingan kesebut luwih akeh diserahkan nang LSM lokal bentukan YAO sing kesebar neng 6 kabupaten 
"Kabupaten Kupang, Kota Kupang, Kabupaten Belu, Kabupaten Alor, Kabupaten Rote dan Kabupaten Timor Tengah Selatan","Kabupaten Kupang, kutha Kupang, Kabupaten Belu, Kabupaten Alor, Kabupaten Rote lan Kabupaten Timor tengah kidul"
Kegiatan pelayanan langsung pada masyarakat dilakukan oleh unit Lembaga Keuangan Mikro YAO,kemempengan ladenan teras nang masyarakat dilakoke saka unit Lembaga kedhuwitan Mikro YAO
"Sasaran dari LKM YAO ini adalah masyarakat kelas bawah yang tidak mempunyai agunan, dan khususnya kaum perempuan","Sasaran saka LKM YAO iki yaiku masyarakat kelas ngisor sing ora nduweni agunan, lan khususnya kaum wadon"
"Saat ini LKM menyediakan dua skema kredit, yaitu kredit dengan pembayaran bulanan dan kredit dengan pembayaran harian","wektu iki LKM nyawiske loro skema kredit, yaiku kredit karo pembayaran bulanan lan kredit karo pembayaran bedinan "
"Wilayah yang dicakup LKM YAO ini meliputi Kabupaten Kupang, Kabupaten Timor Tengah Utara (TTU) Kabupaten Belu","Wilayah sing dicakup LKM YAO iki meliputi Kabupaten Kupang, Kabupaten Timor tengah lor (TTU) Kabupaten Belu"
Jumlah nasabah yang dilayani sekitar 300 orang yang mengambil kredit harian dan sekitar 300 orang yang mengambil kredit bul,cacah nasabah sing diladeni sekitar 300 wong sing njupuk kredit bedinan lan sekitar 300 wong sing njupuk kredit bul 
Semua staf ini dibiayai sendiri oleh LKM dan keuntungan bunga yang disetorkan sudah dapat menutup biaya operasional LKM,kabeh staf iki dibiayai dhewe saka LKM lan keuntungan kembang sing disetorkan wis bisa menutup biaya operasional LKM 
"Proporsi tingkat kemacetan relatif kecil, yaitu antara 5%-10%","Proporsi tingkat kemacetan relatif cilik, yaiku antara 5-10 "
"Kegiatan LKM YAO didanai terutama dari modal yang disisihkan dari YAO, ditambah dengan dana hibah dari NZAID","kemempengan LKM YAO didanai paling utama saka modal sing disisihkan saka YAO, ditambah karo dana hibah saka NZAID"
Dukungan lain yang diperoleh LKM ini adalah berupa pelatihan dari NZAID dan dari JICA,Dukungan liya sing disakakne LKM iki yaiku ngrupa panglatian saka NZAID lan saka JICA
3.2.3 Yayasan Pengembangan Pesisir dan Pantai (YPPL) - Kabupaten Kupang,3.2.3 Yayasan Pengembangan panjungkat lan Pantai (YPPL) - Kabupaten Kupang
"Sasaran program yayasan ini meliputi masyarakat pesisir di Teluk Kupang, Pantai Utara TTS dan Pantai Selatan Belu","Sasaran program yayasan iki meliputi masyarakat panjungkat neng Teluk Kupang, Pantai lor TTS lan Pantai kidul Belu"
Kegiatan YPPL mendapat dukungan dari beberapa lembaga donor dan dari pemerintah,kemempengan YPPL mbisa dukungan saka beberapa lembaga donor lan saka pamerentah
YPPL antara lain mendapat dukungan dana hibah dari COREMAP AusAID pada 1998,YPPL antara liya mbisa dukungan dana hibah saka COREMAP AusAID nang 1998
"Yayasan Sanlima mempunyai tiga program utama, yaitu penelitian, demokrasi dan masyarakat miskin, dan ekonomi rakyat","Yayasan Sanlima nduweni telu program utama, yaiku penelitian, demokrasi lan masyarakat miskin, lan ekonomi rakyat"
"Dalam program ekonomi rakyat, sejak 1999 Yayasan Sanlima memberikan kredit dalam satu paket dengan pendampingan usaha","jero program ekonomi rakyat, ket 1999 Yayasan Sanlima menehake kredit jero siji paket karo pendampingan upadi "
Saat ini ada 36 kelompok yang didampingi dan 16 di antaranya berada di Kabupaten dan Kota Kupang,wektu iki ana 36 kelompok sing didampingi lan 16 neng antarane ana ing Kabupaten lan kutha Kupang
Pendampingan usaha diberikan dalam bentuk pelatihan manajemen dan keuangan,Pendampingan upadi diwenehna jero bentuk panglatian manajemen lan kedhuwitan
Sedangkan kredit diberikan kepada kelompok yang terdiri dari 6-10 orang dengan sistem tanggung-renteng (lihat Kotak 3.8.),lagekne kredit diwenehna marang kelompok sing awak saka 6-10 wong karo sistem tanggung-renteng (delok Kotak 3.8.) 
"Kredit yang didanai ASPUK tidak ada yang macet, sedangkan yang lainnya mempunyai tingkat kemacetan antara 5%-10%","Kredit sing didanai ASPUK ora ana sing macet, lagekne sing liyane nduweni tingkat kemacetan antara 5-10"
Kemacetan pengembalian pada umumnya disebabkan karena fluktuasi harga yang merugikan usaha anggota kelompok,Kemacetan pambalen nang umumnya diamergakne amarga fluktuasi rega sing nunakne upadi anggota kelompok
Kemacetan bisa dihindari dengan menerapkan skema yang sangat fleksibel sesuai dengan kemampuan nasabah,Kemacetan bisa dihindari karo ngerepake skema sing fleksibel banget padha karo kabisan nasabah
Biaya untuk kegiatan berasal dari dana pendampingan yang diberikan oleh YIS Solo dan ASPUK,Biaya kanggo kemempengan asale saka dana pendampingan sing diwenehna saka YIS Solo lan ASPUK
Saat ini hanya ada satu orang pendamping yang gajinya dibayar dari bunga kredit 10 kelompok yang didampinginya,wektu iki mung ana siji wong pendamping sing opah e dibayar saka kembang kredit 10 kelompok sing didampinginya
3.2.5 Yayasan Delsos - Kabupaten Manggarai,3.2.5 Yayasan Delsos - Kabupaten Manggarai
Delsos merupakan bagian dari keuskupan yang mengemban tugas pengembangan masyarakat,Delsos ngrupakne kanggonan saka keuskupan sing mengemban tugas pengembangan masyarakat
Dana PSE-KWI pada umumnya diberikan kepada kelompok-kelompok usaha yang telah mendapat bimbingan ketrampilan dari,Dana PSE-KWI nang umumnya diwenehna marang kelompok-kelompok upadi sing wis mbisa bimbingan ketrampilan saka 
